"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20453","TC02 - Verify Logout Functionality @regression","Regression","Thu Feb 05 20:31:25 UTC 2026","passed","Thu Feb 05 20:31:46 UTC 2026","Dashboard_UserActions_Test","Dashboard/Dashboard_UserActions_Test.spec.ts","",""
"","43160","TC04 - Verify Add Employee Validation @regression","Regression","Thu Feb 05 20:25:50 UTC 2026","passed","Thu Feb 05 20:26:34 UTC 2026","PIM_Employee_Test","PIM/PIM_Employee_Test.spec.ts","",""
"","15355","TC13 - Verify LDAP Configuration Save @regression","Regression","Thu Feb 05 20:31:23 UTC 2026","failed","Thu Feb 05 20:31:39 UTC 2026","Admin_Configuration_Test","Admin/Admin_Configuration_Test.spec.ts","",""
"","22916","TC08 - Verify Employee Trackers Filter by Employee @regression","Regression","Thu Feb 05 20:32:02 UTC 2026","passed","Thu Feb 05 20:32:25 UTC 2026","Performance_MyReviews_Test","Performance/Performance_MyReviews_Test.spec.ts","",""
"","19339","TC03 - Verify Add Employee with Termination @foundation","Foundation","Thu Feb 05 20:23:43 UTC 2026","failed","Thu Feb 05 20:24:02 UTC 2026","PIM_Employee_Test","PIM/PIM_Employee_Test.spec.ts","",""
"","49546","TC02 - Verify Punch Punch In/Out Verify, Edit, Delete Workflow @regression","Regression","Thu Feb 05 20:26:47 UTC 2026","failed","Thu Feb 05 20:27:37 UTC 2026","Time_Attendance_Test","Time/Time_Attendance_Test.spec.ts","",""
"","17846","TC03 - Verify Apply Leave with Half Day @regression","Regression","Thu Feb 05 20:26:51 UTC 2026","failed","Thu Feb 05 20:27:09 UTC 2026","Leave_ApplyLeave_Test","Leave/Leave_ApplyLeave_Test.spec.ts","",""
"","19789","TC08 - Verify Employee Claims Reject Action @regression","Regression","Thu Feb 05 20:32:51 UTC 2026","passed","Thu Feb 05 20:33:11 UTC 2026","Claim_EmployeeClaims_Test","Claim/Claim_EmployeeClaims_Test.spec.ts","",""
"","17798","TC04 - Verify Leave List Filter by Employee @regression","Regression","Thu Feb 05 20:27:34 UTC 2026","failed","Thu Feb 05 20:27:52 UTC 2026","Leave_LeaveList_Test","Leave/Leave_LeaveList_Test.spec.ts","",""
"","39339","TC01 - Assign Leave to Employee @regression","Regression","Thu Feb 05 20:25:45 UTC 2026","passed","Thu Feb 05 20:26:25 UTC 2026","Leave_Operations_Test","Leave/Leave_Operations_Test.spec.ts","",""
